X,Y,OBJECTID,GMID,ENGLISH_CATEGORY,ENGLISH_NAME,ENGLISH_ADDRESS,中文類別,設施名稱,中文地址,District,地區,Sub_District,分區,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Last_collection_time,最後接收箱時間,Remarks,備註,Latitude,Longitude,Building_CSUID,Northing,Easting,ChineseCategory
114.18778,22.38286,26,RLbvDWudjA,Street Posting Boxes,Street Posting Box No. 377,"MTR, Shatin Station, Concourse",郵筒,編號377郵箱,港鐵沙田站大堂,SHA TIN,沙田區,SHA TIN,沙田,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:30 pm<br>Sat: 3:30 p.m.,星期一至五: 下午 3:30 <br> 星期六: 下午 3:30,N.A.,N.A.,22.38286,114.18778,,827071,837391,
114.13862,22.49221,27,XEp24dANrC,Street Posting Boxes,Street Posting Box No. 389,"MTR, Fanling Station, Concourse",郵筒,編號389郵箱,港鐵粉嶺站大堂,NORTH,北區,FANLING,粉嶺,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:15 p.m.<br>Sat: 3:15 p.m.,星期一至五: 下午 3:15<br>星期六: 下午 3:15,N.A.,N.A.,22.49221,114.13862,,839181,832332,
114.170930000000112,22.44429,28,gt8o7lMLg2,Street Posting Boxes,Street Posting Box No. 383,"MTR, Tai Po Market Station, Concourse",郵筒,編號383郵箱,港鐵大埔墟站大堂,TAI PO,大埔區,TAI PO,大埔,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 4:30 p.m.<br>Sat: 4:30 p.m.,星期一至五: 下午 4:30<br>星期六: 下午 4:30,N.A.,N.A.,22.44429,114.17093,,833874,835656,
114.17844,22.37341,29,M9UB9MAjpe,Street Posting Boxes,Street Posting Box No. 134,"Tsuen Nam Road / Outside MTR, Tai Wai Station",郵筒,編號134郵箱,村南道∕港鐵大圍站外,SHA TIN,沙田區,SHA TIN,沙田,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:30 p.m.<br>Sat: 3:30 p.m.,星期一至五: 下午 3:30<br>星期六: 下午 3:30,N.A.,N.A.,22.37341,114.17844,,826025,836429,
114.178450000000112,22.37342,30,bF7Zi8llfc,Street Posting Boxes,Street Posting Box No. 236,"Tsuen Nam Road / Outside MTR, Tai Wai Station",郵筒,編號236郵箱,村南道∕港鐵大圍站外,SHA TIN,沙田區,SHA TIN,沙田,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:30 p.m.<br>Sat: 3:30 p.m.,星期一至五: 下午 3:30<br>星期六: 下午 3:30,N.A.,N.A.,22.37342,114.17845,,826026,836430,
113.93296,22.27853,31,fGBTYABwEK,Street Posting Boxes,Street Posting Box No. 719,"Mun Tung Estate Bus Terminus, Yu Tung Road",郵筒,編號719郵箱,裕東路滿東邨巴士總站,ISLANDS DISTRICT,離島區,TUNG CHUNG,東涌,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:00 p.m.<br>Sat: 3:00 p.m.,星期一至五: 下午 3:00<br>星期六: 下午 3:00,N.A.,N.A.,22.27853,113.93296,,815539,811130,
114.15199,22.33873,32,atqEW80vy3,Street Posting Boxes,Street Posting Box No. 542,Outside Lai Sun Commercial Centre 680 Cheung Sha Wan Road,郵筒,編號542郵箱,長沙灣道680號麗新商業中心外,SHAM SHUI PO,深水埗區,CHEUNG SHA WAN,長沙灣,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 2:00 p.m.<br>Sat: 2:00 p.m,星期一至五: 下午 2:00<br>星期六: 下午 2:00,N.A.,N.A.,22.33873,114.15199,,822185,833705,
114.26205,22.30874,33,laHZPLIL3b,Street Posting Boxes,Street Posting Box No. 682,Tseung Kwan O Plaza.,郵筒,編號682郵箱,將軍澳廣場,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to 10:30 a.m.<br>Sat: 10:30 a.m.,星期一至五:上午 10:30 <br>星期六: 上午 10:30,N.A.,N.A.,22.30874,114.26205,,818866,845044,
114.25751,22.32279,34,dM8kYKXdyh,Street Posting Boxes,Street Posting Box No. 659,MTR Po Lam Station beside escalator.,郵筒,編號659郵箱,港鐵寳琳站近扶手電梯旁,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:00 a.m.<br>Sat: 11:00 a.m.,星期一至五:上午 11:00 <br>星期六: 上午 11:00,N.A.,N.A.,22.32279,114.25751,4462720362T20050430,820422,844576,
114.2593,22.30718,35,PC11nzvULa,Street Posting Boxes,Street Posting Box No. 647,"MTR Tseung Kwan O Station,near exit B",郵筒,編號647郵箱,港鐵將軍澳站近B出口,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:30 a.m.<br>Sat: 10:30 a.m.,星期一至五:上午 10:30 <br>星期六: 上午 10:30,N.A.,N.A.,22.30718,114.2593,,818693,844761,
